Node_index  Parent_index  cost
531             327              0
532             327              0
533             328              0
534             328              0
535             329              0
536             329              0
537             330              0
538             330              0
539             331              0
540             331              0
541             332              0
542             332              0
543             333              0
544             333              0
545             334              0
546             334              0
547             335              0
548             336              0
549             336              0
550             337              0
551             337              0
552             338              0
553             339              0
554             339              0
555             340              0
556             340              0
557             341              0
558             341              0
559             342              0
560             342              0
561             343              0
562             343              0
563             344              0
564             344              0
565             345              0
566             345              0
567             346              0
568             346              0
569             347              0
570             347              0
571             348              0
572             348              0
573             349              0
574             349              0
575             350              0
576             350              0
577             351              0
578             352              0
579             352              0
580             353              0
581             353              0
582             354              0
583             354              0
584             355              0
585             355              0
586             356              0
587             356              0
588             357              0
589             357              0
590             358              0
591             358              0
592             359              0
593             359              0
594             360              0
595             360              0
596             361              0
597             361              0
598             362              0
599             362              0
600             363              0
601             363              0
602             364              0
603             365              0
604             365              0
605             366              0
606             366              0
607             367              0
608             367              0
609             368              0
610             368              0
611             369              0
612             369              0
613             370              0
614             370              0
615             371              0
616             371              0
617             372              0
618             372              0
619             373              0
620             374              0
621             374              0
622             375              0
623             375              0
624             376              0
625             376              0
626             377              0
627             377              0
628             378              0
629             378              0
630             379              0
631             379              0
632             380              0
633             380              0
634             381              0
635             382              0
636             383              0
637             383              0
638             384              0
639             384              0
640             385              0
641             385              0
642             386              0
643             387              0
644             387              0
645             388              0
646             388              0
647             389              0
648             389              0
649             390              0
650             390              0
651             391              0
652             391              0
653             392              0
654             392              0
655             393              0
656             393              0
657             394              0
658             394              0
659             395              0
660             395              0
661             396              0
662             396              0
663             397              0
664             398              0
665             398              0
666             399              0
667             399              0
668             400              0
669             400              0
670             401              0
671             401              0
672             402              0
673             402              0
674             403              0
675             403              0
676             404              0
677             404              0
678             405              0
679             405              0
680             406              0
681             407              0
682             407              0
683             408              0
684             408              0
685             409              0
686             409              0
687             410              0
688             411              0
689             411              0
690             412              0
691             412              0
692             413              0
693             413              0
694             414              0
695             414              0
696             415              0
697             415              0
698             416              0
699             416              0
700             417              0
701             417              0
702             418              0
703             418              0
704             419              0
705             419              0
706             420              0
707             420              0
708             420              0
709             421              0
710             423              0
711             424              0
712             425              0
713             426              0
714             427              0
715             428              0
716             430              0
717             431              0
718             432              0
719             433              0
720             433              0
721             433              0
722             434              0
723             435              0
724             436              0
725             437              0
726             438              0
727             439              0
728             440              0
729             440              0
730             440              0
731             441              0
732             442              0
733             443              0
734             443              0
735             443              0
736             444              0
737             445              0
738             445              0
739             445              0
740             446              0
741             447              0
742             448              0
743             449              0
744             450              0
745             451              0
746             452              0
747             453              0
748             454              0
749             455              0
750             456              0
751             456              0
752             456              0
753             457              0
754             458              0
755             458              0
756             458              0
757             459              0
758             460              0
759             461              0
760             462              0
761             463              0
762             464              0
763             465              0
764             466              0
765             466              0
766             467              0
767             467              0
768             468              0
769             469              0
770             469              0
771             470              0
772             471              0
773             471              0
774             471              0
775             472              0
776             473              0
777             474              0
778             474              0
779             474              0
780             475              0
781             476              0
782             477              0
783             478              0
784             479              0
785             480              0
786             481              0
787             482              0
788             482              0
789             482              0
790             483              0
791             484              0
792             484              0
793             485              0
794             486              0
795             487              0
796             488              0
797             488              0
798             488              0
799             489              0
800             490              0
801             491              0
802             492              0
803             492              0
804             492              0
805             493              0
806             493              0
807             493              0
808             494              0
809             495              0
810             496              0
811             497              0
812             498              0
813             498              0
814             498              0
815             499              0
816             500              0
817             501              0
818             502              0
819             503              0
820             505              0
821             506              0
822             506              0
823             506              0
824             507              0
825             508              0
826             509              0
827             510              0
828             511              0
829             512              0
830             513              0
831             513              0
832             513              0
833             514              0
834             515              0
835             516              0
836             516              0
837             517              0
838             518              0
839             519              0
840             520              0
841             520              0
842             520              0
843             521              0
844             522              0
845             523              0
846             523              0
847             523              0
848             524              0
849             525              0
850             526              0
851             527              0
852             528              0
853             529              0
854             530              0
855             531              0
856             531              0
857             532              0
858             533              0
859             533              0
860             533              0
861             534              0
862             535              0
863             536              0
864             536              0
865             536              0
866             537              0
867             537              0
868             537              0
869             538              0
870             539              0
871             540              0
872             541              0
873             542              0
874             543              0
875             544              0
876             545              0
877             545              0
878             546              0
879             547              0
880             548              0
881             549              0
882             549              0
883             549              0
884             550              0
885             550              0
886             550              0
887             551              0
888             552              0
889             553              0
890             553              0
891             553              0
892             554              0
893             555              0
894             555              0
895             555              0
896             556              0
897             557              0
898             558              0
899             558              0
900             558              0
901             559              0
902             559              0
903             559              0
904             560              0
905             561              0
906             562              0
907             564              0
908             565              0
909             566              0
910             567              0
911             569              0
912             570              0
913             571              0
914             572              0
915             573              0
916             573              0
917             573              0
918             574              0
919             575              0
920             576              0
921             576              0
922             576              0
923             577              0
924             578              0
925             578              0
926             578              0
927             579              0
928             580              0
929             581              0
930             581              0
931             582              0
932             582              0
933             582              0
934             583              0
935             584              0
936             585              0
937             585              0
938             585              0
939             586              0
940             587              0
941             588              0
942             589              0
943             590              0
944             592              0
945             593              0
946             594              0
947             595              0
948             596              0
949             597              0
950             598              0
951             598              0
952             598              0
953             599              0
954             600              0
955             601              0
956             601              0
957             602              0
958             603              0
959             604              0
960             604              0
961             604              0
962             605              0
963             606              0
964             606              0
965             607              0
966             607              0
967             607              0
968             608              0
969             609              0
970             610              0
971             610              0
972             610              0
973             611              0
974             612              0
975             613              0
976             614              0
977             615              0
978             616              0
979             617              0
980             617              0
981             618              0
982             619              0
983             620              0
984             620              0
985             620              0
986             621              0
987             622              0
988             623              0
989             623              0
990             623              0
991             624              0
992             624              0
993             624              0
994             625              0
995             626              0
996             627              0
997             628              0
998             629              0
999             630              0
1000             631              0
1001             632              0
1002             632              0
1003             633              0
1004             634              0
1005             635              0
1006             636              0
1007             637              0
1008             637              0
1009             637              0
1010             638              0
1011             638              0
1012             638              0
1013             639              0
1014             640              0
1015             640              0
1016             640              0
1017             641              0
1018             642              0
1019             643              0
1020             643              0
1021             643              0
1022             644              0
1023             645              0
1024             646              0
1025             646              0
1026             646              0
1027             647              0
1028             647              0
1029             647              0
1030             648              0
1031             649              0
1032             650              0
1033             652              0
1034             653              0
1035             654              0
1036             655              0
1037             655              0
1038             655              0
1039             656              0
1040             658              0
1041             659              0
1042             660              0
1043             661              0
1044             662              0
1045             663              0
1046             664              0
1047             665              0
1048             666              0
1049             667              0
1050             668              0
1051             668              0
1052             668              0
1053             669              0
1054             670              0
1055             672              0
1056             674              0
1057             675              0
1058             675              0
1059             675              0
1060             676              0
1061             676              0
1062             676              0
1063             677              0
1064             678              0
1065             680              0
1066             681              0
1067             682              0
1068             682              0
1069             682              0
1070             683              0
1071             684              0
1072             685              0
1073             686              0
1074             687              0
1075             688              0
1076             689              0
1077             689              0
1078             690              0
1079             690              0
1080             690              0
1081             691              0
1082             692              0
1083             692              0
1084             693              0
1085             694              0
1086             694              0
1087             694              0
1088             695              0
1089             696              0
1090             697              0
1091             697              0
1092             697              0
1093             698              0
1094             698              0
1095             698              0
1096             699              0
1097             700              0
1098             701              0
1099             703              0
1100             704              0
1101             705              0
1102             706              0
1103             706              0
1104             707              0
1105             707              0
1106             708              0
1107             708              0
1108             709              0
1109             709              0
1110             710              0
1111             710              0
1112             711              0
1113             711              0
1114             712              0
1115             713              0
1116             713              0
1117             714              0
1118             714              0
1119             715              0
1120             715              0
1121             716              0
1122             716              0
1123             717              0
1124             718              0
1125             718              0
1126             719              0
1127             719              0
1128             720              0
1129             720              0
1130             721              0
1131             721              0
1132             722              0
1133             722              0
1134             723              0
1135             723              0
1136             724              0
1137             724              0
1138             725              0
1139             726              0
1140             726              0
1141             727              0
1142             727              0
1143             728              0
1144             728              0
1145             729              0
1146             729              0
1147             730              0
1148             730              0
1149             731              0
1150             731              0
1151             732              0
1152             732              0
1153             733              0
1154             733              0
1155             734              0
1156             734              0
1157             735              0
1158             735              0
1159             736              0
1160             736              0
1161             737              0
1162             737              0
1163             738              0
1164             738              0
1165             739              0
1166             739              0
1167             740              0
1168             740              0
1169             741              0
1170             742              0
1171             742              0
1172             743              0
1173             743              0
1174             744              0
1175             745              0
1176             745              0
1177             746              0
1178             747              0
1179             747              0
1180             748              0
1181             748              0
1182             749              0
1183             749              0
1184             750              0
1185             750              0
1186             751              0
1187             751              0
1188             752              0
1189             752              0
1190             753              0
1191             753              0
1192             754              0
1193             754              0
1194             755              0
1195             755              0
1196             756              0
1197             756              0
1198             757              0
1199             757              0
1200             758              0
1201             758              0
1202             759              0
1203             759              0
1204             760              0
1205             760              0
1206             761              0
1207             762              0
1208             762              0
1209             763              0
1210             763              0
1211             764              0
1212             764              0
1213             765              0
1214             765              0
1215             766              0
1216             766              0
1217             767              0
1218             767              0
1219             768              0
1220             768              0
1221             769              0
1222             770              0
1223             770              0
1224             771              0
1225             771              0
1226             772              0
1227             772              0
1228             773              0
1229             773              0
1230             774              0
1231             774              0
1232             775              0
1233             775              0
1234             776              0
1235             776              0
1236             777              0
1237             777              0
1238             778              0
1239             779              0
1240             779              0
1241             780              0
1242             780              0
1243             781              0
1244             781              0
1245             782              0
1246             782              0
1247             783              0
1248             784              0
1249             784              0
1250             785              0
1251             785              0
1252             786              0
1253             786              0
1254             787              0
1255             787              0
1256             788              0
1257             788              0
1258             789              0
1259             789              0
1260             790              0
1261             790              0
1262             791              0
1263             791              0
1264             792              0
1265             792              0
1266             793              0
1267             793              0
1268             794              0
1269             794              0
1270             795              0
1271             795              0
1272             796              0
1273             796              0
1274             797              0
1275             797              0
1276             798              0
1277             799              0
1278             800              0
1279             800              0
1280             801              0
1281             801              0
1282             802              0
1283             802              0
1284             803              0
1285             803              0
